Ticker,Quandl Code, Name
AADR,GOOG/NYSEARCA_AADR,WCM/BNY Mellon Focused Growth ADR ETF
AAIT,GOOG/NASDAQ_AAIT,iShares Trust
AAXJ,GOOG/NASDAQ_AAXJ,iShares MSCI Cntry Asa Jpn Idx Fnd ETF
ACCU,GOOG/NYSEARCA_ACCU,AdvisorShares Trust
ACIM,GOOG/NYSEARCA_ACIM,SPDR Index Shares Fund
ACWI,GOOG/NASDAQ_ACWI,iShares MSCI ACWI Index Fund
ACWV,GOOG/NYSEARCA_ACWV,iShares Inc.
ACWX,GOOG/NASDAQ_ACWX,iShares MSCI ACWI ex US Index Fund
ADRA,GOOG/NASDAQ_ADRA,BLDRS Asia 50 ADR Index
ADRD,GOOG/NASDAQ_ADRD,BLDRS Developed Markets 100 ADR
ADRE,GOOG/NASDAQ_ADRE,BLDRS Emerging Markets 50 ADR Index
ADRU,GOOG/NASDAQ_ADRU,BLDRS Europe 100 ADR Index
ADZ,GOOG/NYSEARCA_ADZ,DB Agriculture Short ETN DB Agriculture Short ETN
AFK,GOOG/NYSEARCA_AFK,Market Vectors Africa
AGA,GOOG/NYSEARCA_AGA,DB Agriculture Short ETN DB Agriculture Double Short ETN
AGEM,GOOG/NYSEARCA_AGEM,EGShares GEMS Composite ETF
AGF,GOOG/NYSEARCA_AGF,DB Agriculture Long ETN DB Agriculture Long ETN
AGG,GOOG/NYSEARCA_AGG,iShares Barclays Aggregate Bond Fund
AGLS,GOOG/NYSEARCA_AGLS,Accuvest Global Long Short ETF
AGOL,GOOG/NYSEARCA_AGOL,ETFS Asian Gold Trust
AGQ,GOOG/NYSEARCA_AGQ,ProShares Ultra Silver
AGZ,GOOG/NYSEARCA_AGZ,iShares Barclays Agency Bond Fund
AIA,GOOG/NYSEARCA_AIA,iShares S&amp;P Asia 50 Index Fund
ALD,GOOG/NYSEARCA_ALD,Allied Capital Corporation
ALFA,GOOG/NYSEARCA_ALFA,ETF Series Solutions
ALTL,GOOG/NYSEARCA_ALTL,RBS US Large Cap Alternator Exchange Traded Note
AMJ,GOOG/NYSEARCA_AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN
AMLP,GOOG/NYSEARCA_AMLP,Alerian Mlp
AMPS,GOOG/NYSEARCA_AMPS,iShares Trust
AMU,GOOG/NYSEARCA_AMU,ETRACS Alerian MLP Index ETN
AND,GOOG/NYSEARCA_AND,Global X Funds
ANGL,GOOG/NYSEARCA_ANGL,Market Vectors ETF Trust
AOA,GOOG/NYSEARCA_AOA,iShares S&amp;P Aggressive Allocation Fd ETF
AOK,GOOG/NYSEARCA_AOK,iShares S&amp;P Conservative Allocatn Fd ETF
AOM,GOOG/NYSEARCA_AOM,iShares S&amp;P Moderate Allocation Fund ETF
AOR,GOOG/NYSEARCA_AOR,iShares S&amp;P Growth Allocation Fund
ARGT,GOOG/NYSEARCA_ARGT,Global X Funds
ASDR,GOOG/NASDAQ_ASDR,ALPS ETF Trust
ASEA,GOOG/NYSEARCA_ASEA,Global X Funds
ATMP,GOOG/NYSEARCA_ATMP,Barclays ETN Plus Select MLP
AUD,GOOG/NYSEARCA_AUD,Pimco Australia Bond Index Exchange-Traded Fund ETF
AUNZ,GOOG/NYSEARCA_AUNZ,WisdomTree Dreyfus NZ Dollar Fund
AUSE,GOOG/NYSEARCA_AUSE,WisdomTree Pacific ex Japan Hgh Yd
AXDI,GOOG/NYSEARCA_AXDI,iShares Trust
AXEN,GOOG/NYSEARCA_AXEN,iShares Trust
AXFN,GOOG/NASDAQ_AXFN,iShares MSCI ACWI ex US Financials Sect
AXHE,GOOG/NYSEARCA_AXHE,iShares Trust
AXID,GOOG/NYSEARCA_AXID,iShares Trust
AXIT,GOOG/NYSEARCA_AXIT,iShares Trust
AXJL,GOOG/NYSEARCA_AXJL,WisdomTree Pacific ex-Japan Ttl Div
AXJS,GOOG/NASDAQ_AXJS,iShares Trust
AXMT,GOOG/NYSEARCA_AXMT,iShares Trust
AXSL,GOOG/NYSEARCA_AXSL,iShares Trust
AXTE,GOOG/NYSEARCA_AXTE,iShares Trust
AXUT,GOOG/NYSEARCA_AXUT,iShares Trust
AYT,GOOG/NYSEARCA_AYT,iPath GEMS Asia 8 ETN
AZIA,GOOG/NYSEARCA_AZIA,Global X Funds
BAB,GOOG/NYSEARCA_BAB,PowerShares Build America Bond Portfolio
BABS,GOOG/NYSEARCA_BABS,SPDR Nuveen Barclays Capital Build Amer
BABZ,GOOG/NYSEARCA_BABZ,PIMCO ETF Trust
BAL,GOOG/NYSEARCA_BAL,iPath DJ-UBS Cotton Subindex Total Return SM Index ETN
BARL,GOOG/NYSEARCA_BARL,"Morgan Stanley S&amp;P 500 Crude Oil Linked ETNs due July 1, 2031"
BBH,GOOG/NYSEARCA_BBH,Merrill Lynch Biotech HOLDRS ETF
BBRC,GOOG/NYSEARCA_BBRC,EGA Emerging Global Shares Trust
BCM,GOOG/NYSEARCA_BCM,iPath Pure Beta Broad Commodity ETN
BDCL,GOOG/NYSEARCA_BDCL,"2xLeveraged Long Exchange Traded Access Securities (E-TRACS) Linked to the Wells Fargo Business Development Company Index due May 24, 2041"
BDCS,GOOG/NYSEARCA_BDCS,"UBS AG Exchange Traded Access Securities (E TRACS) Linked to the Wells Fargo Business Development Company Index due April 26, 2041"
BDD,GOOG/NYSEARCA_BDD,PowerShares DB Base Metals Double Long ETN
BDG,GOOG/NYSEARCA_BDG,PowerShares DB Base Metals Long ETN
BFOR,GOOG/NYSEARCA_BFOR,Barron's 400
BIB,GOOG/NASDAQ_BIB,ProShares Ultra Nasdaq Biotechnology ETF
BICK,GOOG/NASDAQ_BICK,First Trust BICK Index Fund ETF
BIK,GOOG/NYSEARCA_BIK,SPDR S&amp;P BRIC 40
BIL,GOOG/NYSEARCA_BIL,SPDR Lehman 1-3 Month T Bill
BIS,GOOG/NASDAQ_BIS,ProShares UltraShort Nasdaq Biotech
BIV,GOOG/NYSEARCA_BIV,Vanguard Intermediate-Term Bond ETF
BIZD,GOOG/NYSEARCA_BIZD,Market Vectors BDC Income ETF
BJK,GOOG/NYSEARCA_BJK,Market Vectors Gaming
BKF,GOOG/NYSEARCA_BKF,iShares MSCI BRIC Index Fund
BKLN,GOOG/NYSEARCA_BKLN,PowerShares Exchange-Traded Fund Trust II
BLNG,GOOG/NYSEARCA_BLNG,iPath Pure Beta Precious Metal ETN
BLV,GOOG/NYSEARCA_BLV,Vanguard Long-Term Bond ETF
BND,GOOG/NYSEARCA_BND,Vanguard Total Bond Market ETF
BNDX,GOOG/NASDAQ_BNDX,Vanguard Charlotte Funds
BNO,GOOG/NYSEARCA_BNO,"United States Brent Oil Fund, LP"
BOIL,GOOG/NYSEARCA_BOIL,ProShares Trust II
BOM,GOOG/NYSEARCA_BOM,PowerShares DB Base Metals Double Short ETN
BOND,GOOG/NYSEARCA_BOND,PIMCO ETF Trust
BONO,GOOG/NYSEARCA_BONO,Market Vectors ETF Trust
BOS,GOOG/NYSEARCA_BOS,PowerShares DB Base Metals Short ETN
BRAF,GOOG/NYSEARCA_BRAF,Global X Funds
BRAQ,GOOG/NYSEARCA_BRAQ,Global X Funds
BRAZ,GOOG/NYSEARCA_BRAZ,Global X Funds
BRF,GOOG/NYSEARCA_BRF,Market Vectors Brazil Small Cap ETF
BRXX,GOOG/NYSEARCA_BRXX,Emerging Global Shares INDXX Brazil Infr
BRZS,GOOG/NYSEARCA_BRZS,Direxion Shares Exchange Traded Fund Trust
BRZU,GOOG/NYSEARCA_BRZU,Direxion Shares Exchange Traded Fund Trust
BSCD,GOOG/NYSEARCA_BSCD,Guggenheim BulletShares 2013 Corp Bd ETF
BSCE,GOOG/NYSEARCA_BSCE,Claymore Exchange-Traded Fund Trust
BSCF,GOOG/NYSEARCA_BSCF,Claymore Exchange-Traded Fund Trust
BSCG,GOOG/NYSEARCA_BSCG,Claymore Exchange-Traded Fund Trust
BSCH,GOOG/NYSEARCA_BSCH,Claymore Exchange-Traded Fund Trust
BSCI,GOOG/NYSEARCA_BSCI,Claymore Exchange-Traded Fund Trust
BSCJ,GOOG/NYSEARCA_BSCJ,Claymore Exchange-Traded Fund Trust
BSCK,GOOG/NYSEARCA_BSCK,Claymore Exchange-Traded Fund Trust
BSCL,GOOG/NYSEARCA_BSCL,CLAYMORE EXCHANGE-TRADED FD TR
BSCM,GOOG/NYSEARCA_BSCM,CLAYMORE EXCHANGE-TRADED FD TR
BSJD,GOOG/NYSEARCA_BSJD,Claymore Exchange-Traded Fund Trust
BSJE,GOOG/NYSEARCA_BSJE,Claymore Exchange-Traded Fund Trust
BSJF,GOOG/NYSEARCA_BSJF,Claymore Exchange-Traded Fund Trust
BSJG,GOOG/NYSEARCA_BSJG,Claymore Exchange-Traded Fund Trust
BSJH,GOOG/NYSEARCA_BSJH,Claymore Exchange-Traded Fund Trust
BSJI,GOOG/NYSEARCA_BSJI,Claymore Exchange-Traded Fund Trust
BSV,GOOG/NYSEARCA_BSV,Vanguard Short-Term Bond ETF
BTAL,GOOG/NYSEARCA_BTAL,FQF Trust
BUND,GOOG/NYSEARCA_BUND,PIMCO Germany Bond Index Exchange-Traded Fund
BUNL,GOOG/NYSEARCA_BUNL,"Deutsche Bank AG, London Branch"
BUNT,GOOG/NYSEARCA_BUNT,PowerShares DB 3X German Bund Futures ETN
BWV,GOOG/NYSEARCA_BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&amp;P 500 BuyWrite Index Structured Product
BWX,GOOG/NYSEARCA_BWX,SPDR Lehman International Treasury Bond
BWZ,GOOG/NYSEARCA_BWZ,SPDR Barclays Capital Short Term Int ETF
BXDB,GOOG/NYSEARCA_BXDB,Barclays Short B Leveraged S&amp;P 500 TR ETN
BXUB,GOOG/NYSEARCA_BXUB,Barclays Long B Leveraged S&amp;P 500 TR ETN
BXUC,GOOG/NYSEARCA_BXUC,Barclays Long C Leveraged S&amp;P 500 TR ETN
BZF,GOOG/NYSEARCA_BZF,WisdomTree Dreyfus ETF BZ Real Fnd
BZQ,GOOG/NYSEARCA_BZQ,ProShares UltraShort MSCI Brazil Capped
CAD,GOOG/NYSEARCA_CAD,PIMCO Canada Bond Index Exchange-Traded Fund ETF
CAFE,GOOG/NYSEARCA_CAFE,Barclays Bank Plc
